Node	NumberOfAssignedReads
Neisseria_sicca	0
Neisseria_subflava	0
Neisseria_weaveri	0
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	2
Pasteurella_multocida	0
Pasteurella_multocida_subsp._multocida	2
Pasteurella_multocida_subsp._multocida_OH4807	1
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	0
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_conorii	0
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	1
Salmonella_enterica_subsp._enterica	1
Salmonella_enterica_subsp._enterica_serovar_Napoli	2
Salmonella_enterica_subsp._enterica_serovar_Typhi_str._Ty2	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	2
Staphylococcus_cohnii	2
Staphylococcus_epidermidis	1
Staphylococcus_equorum	2
Staphylococcus_hominis	0
Staphylococcus_hominis_subsp._hominis	1
Staphylococcus_nepalensis	5
Staphylococcus_saprophyticus	2
Staphylococcus_simulans	1
Staphylococcus_succinus	13
Streptococcus_agalactiae	0
Streptococcus_anginosus	4
Streptococcus_canis	1
Streptococcus_cristatus	2
Streptococcus_dysgalactiae	1
Streptococcus_dysgalactiae_subsp._dysgalactiae	7
Streptococcus_dysgalactiae_subsp._equisimilis	2
Streptococcus_equi	2
Streptococcus_equi_subsp._zooepidemicus	1
Streptococcus_equi_subsp._zooepidemicus_MGCS10565	2
Streptococcus_gallolyticus	4
Streptococcus_gallolyticus_UCN34	6
Streptococcus_gordonii	4
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	4
Streptococcus_lutetiensis	3
Streptococcus_milleri	0
Streptococcus_mitis	0
Streptococcus_mutans	1
Streptococcus_mutans_UA159	2
Streptococcus_oralis	4
Streptococcus_oralis_ATCC_35037	1
Streptococcus_oralis_subsp._oralis	1
Streptococcus_oralis_subsp._tigurinus	2
Streptococcus_parauberis	2
Streptococcus_pneumoniae	3
Streptococcus_pyogenes	5
Streptococcus_salivarius	4
Streptococcus_salivarius_57.I	1
Streptococcus_salivarius_CCHSS3	1
Streptococcus_sanguinis	8
Streptococcus_sp._HSISM1	0
Streptococcus_suis	17
Streptococcus_suis_ST1	1
Streptococcus_suis_T15	1
Streptococcus_thermophilus	8
Tannerella_forsythia	0
Tannerella_forsythia_92A2	2
Treponema	1
Treponema_caldarium_DSM_7334	1
Treponema_denticola	0
