#Coverage (X)	Coverage
1.0	6.354762503477801
2.0	1.160454770253608
3.0	0.8426999182055965
4.0	0.726113605583663
5.0	0.6600424528065219
6.0	0.5933022250645621
7.0	0.5427313089726908
8.0	0.49394459278704517
9.0	0.4631113881577136
10.0	0.43701746452927637
11.0	0.4093066097358218
12.0	0.3836587360839445
13.0	0.3600180873265515
14.0	0.3337011387098414
15.0	0.30872234002278276
16.0	0.2856950099831579
17.0	0.2659572985206182
18.0	0.248226811952577
19.0	0.23406472519697274
20.0	0.21722633858203722
21.0	0.2010570269319345
22.0	0.19007304625928612
23.0	0.17797394064524497
24.0	0.16698995997259658
25.0	0.15645202927649393
26.0	0.14820010471024148
27.0	0.13966939890863728
28.0	0.13152898683651415
29.0	0.12455945595284845
30.0	0.1178687063045345
31.0	0.11067615043259593
32.0	0.10615989441998863
33.0	0.10270300710169522
34.0	0.09913460728925827
35.0	0.0948971325119885
36.0	0.09116146395834335
37.0	0.08781608913417926
38.0	0.08396890808639057
39.0	0.0797314333091208
40.0	0.07560547102599458
41.0	0.07136799624872481
42.0	0.06629417776541402
43.0	0.06194519049400071
44.0	0.05815376569329089
45.0	0.05341448469239651
46.0	0.04700251627942009
47.0	0.04064630411352255
48.0	0.03590702311262817
49.0	0.031613792088293735
50.0	0.027710854793440376
51.0	0.02386367374565168
