#Position (bp)	Coverage	Std
2242.5	0.04906333630686887	0.22150245214640146
6726.5	0.0	0.0
11210.5	0.060660124888492414	0.24719659224705115
15694.5	3.5084745762711864	8.982724524057916
20178.5	4.400535236396075	10.719374773730822
24662.5	7.310437109723461	12.50297020911253
29146.5	0.5294380017841214	2.020468410021924
33630.5	0.06177520071364853	0.2485461742084326
38114.5	0.06735057983942908	0.3075035446515018
42598.5	0.12065120428189118	0.3679269019437853
47082.5	0.12421944692239072	0.35244779318700625
51566.5	0.054861730597680645	0.2342258111261025
56050.5	0.0867528991971454	0.29453845113523874
60534.5	0.0916592328278323	0.3473488221973571
65018.5	0.05865298840321142	0.24218379054596412
69502.5	0.04348795718108831	0.2085376636991225
73986.5	0.058429973238180194	0.2412611822758667
78470.5	3.7455396966993755	7.963145483704768
82954.5	3.730820695807315	10.845326054785627
87438.5	6.928412132024977	11.55373745771248
91922.5	0.05062444246208742	0.22499876102344968
96406.5	0.11909009812667261	0.34573997231551784
100890.5	0.12845673505798394	0.410608651593709
105374.5	0.12332738626226583	0.38856307946862034
109858.5	0.043710972346119537	0.2090716918813246
114342.5	0.0231935771632471	0.1522943766632475
118826.5	0.026092774308652988	0.16153257971274088
123310.5	0.05196253345227476	0.23564968935429198
127794.5	0.026984834968777877	0.16427061504961218
132278.5	0.0	0.0
136762.5	0.1159678858162355	0.3853934352201578
141246.5	0.04504906333630687	0.21743784166197724
145730.5	0.04460303300624442	0.21119430154775584
150214.5	0.027430865298840323	0.1656226593761866
154698.5	0.08407671721677074	0.289959854491567
159182.5	0.04103479036574487	0.20257045778134794
163666.5	0.033229259589652095	0.1822889453303521
168150.5	0.0	0.0
172634.5	0.12154326494201606	0.3486305565236875
177118.5	0.059322033898305086	0.26293478499369166
181602.5	0.1048171275646744	0.32375473365601065
186086.5	0.037020517395182875	0.19240716565446017
190570.5	0.05352363960749331	0.23517602115807446
195054.5	0.03724353256021409	0.192985835128421
199538.5	0.13380909901873328	0.3882759992081743
204022.5	0.030999107939339875	0.17606563531632138
208506.5	0.040365744870651206	0.200912281532641
212990.5	0.03969669937555754	0.19924030559994013
217474.5	0.05017841213202498	0.22400538415856208
221958.5	0.04460303300624442	0.21119430154775584
226442.5	0.042818911685994644	0.21743784166197724
230926.5	0.0936663693131133	0.31325177192433845
235410.5	0.0635593220338983	0.25210974204480535
239894.5	4.884255129348796	9.460184652868532
244378.5	2.4948706512042818	9.043099793791058
248862.5	0.05396966993755575	0.23231373170253142
253346.5	0.09054415700267618	0.31110863315496473
257830.5	0.04750223015165031	0.21795006343575657
262314.5	0.08496877787689563	0.2968012637899858
266798.5	0.05530776092774309	0.24264377916658536
271282.5	0.05419268510258698	0.23279322391896842
275766.5	0.06155218554861731	0.2480971292631523
280250.5	0.05084745762711865	0.22549380840084865
284734.5	0.10325602140945585	0.3209875484258301
289218.5	0.07314897413024085	0.27292318538451105
293702.5	0.02230151650312221	0.14933692277237473
298186.5	0.023862622658340767	0.15447531407425838
302670.5	0.5510704727921498	2.6621793571296446
307154.5	6.778322925958965	11.979846665854172
311638.5	0.11061552185548618	0.3325891186666909
316122.5	0.07314897413024085	0.27046067020962744
320606.5	0.10325602140945585	0.3587195983257887
325090.5	0.09054415700267618	0.30090556160143694
329574.5	0.07136485280999108	0.267142008695733
334058.5	0.04103479036574487	0.20257045778134794
338542.5	0.05129348795718109	0.2264806569161726
343026.5	0.08764495985727029	0.3005347597826996
347510.5	0.04973238180196253	0.2230075823867039
351994.5	0.04571810883140053	0.21381793383951808
356478.5	0.029884032114183764	0.17286998615775892
360962.5	0.03233719892952721	0.19182675055933063
365446.5	0.12065120428189118	0.35371105097595634
369930.5	0.01650312221231044	0.12846447840671926
374414.5	0.0695807314897413	0.2679755271289778
378898.5	0.04817127564674398	0.21947955632984129
383382.5	0.03612845673505798	0.19007487139298027
387866.5	0.06757359500446031	0.31075000636929867
392350.5	0.10013380909901873	0.32341013032934385
396834.5	0.0715878679750223	0.2675590924917752
401318.5	0.1460749330954505	0.4585883782047278
405802.5	0.007136485280999108	0.08447772061910233
410286.5	0.08385370205173952	0.28957503699687154
414770.5	0.024531668153434435	0.15662588596216923
419254.5	5.643398751115075	9.328407115054139
423738.5	2.1079393398751116	9.153561578035639
428222.5	0.07917038358608386	0.33292422113826053
432706.5	0.01583407671721677	0.12583352779453008
437190.5	0.0	0.0
441674.5	0.0	0.0
446158.5	0.04571810883140053	0.23470139701908863
450642.5	0.06289027653880463	0.27938380010467273
455126.5	0.10637823371989295	0.3434749223764619
459610.5	0.14362176628010706	0.4160045288986989
464094.5	0.04950936663693131	0.25077933834110944
468578.5	0.05062444246208742	0.22499876102344968
473062.5	0.01159678858162355	0.10768838647516059
477546.5	0.10035682426404996	0.31679145232163375
482030.5	0.05352363960749331	0.23135176594850818
486514.5	0.01984834968777877	0.14088417117539773
490998.5	0.041480820695807316	0.20366840868383912
495482.5	0.01873327386262266	0.13686955053123634
499966.5	0.04103479036574487	0.20692731015019417
504450.5	0.055530776092774306	0.23564968935429198
508934.5	0.10615521855486174	0.3645778906607042
513418.5	0.011150758251561105	0.10559715077387792
517902.5	0.0	0.0
522386.5	0.06467439785905442	0.25431161565892824
526870.5	0.058876003568242644	0.24264377916658536
531354.5	0.07694023193577164	0.27738102302748047
535838.5	0.03501338090990187	0.1871186279072767
540322.5	0.04906333630686887	0.22150245214640146
544806.5	0.02230151650312221	0.14933692277237473
549290.5	0.15365744870651205	0.41412396925197387
553774.5	0.03479036574487065	0.18652175676009125
558258.5	0.01895628902765388	0.13768183986152233
562742.5	0.0	0.0
567226.5	0.051070472792149865	0.22598777133320702
571710.5	0.09255129348795718	0.304222440802708
576194.5	0.058206958073148976	0.2412611822758667
580678.5	0.03456735057983943	0.19413799960408715
585162.5	0.0796164139161463	0.28841750390128174
589646.5	0.08318465655664585	0.29453845113523874
594130.5	0.05307760927743087	0.23038578358360323
598614.5	0.061106155218554864	0.24719659224705115
603098.5	0.029884032114183764	0.17286998615775892
607582.5	0.07091882247992863	0.2849166897030864
612066.5	0.09322033898305085	0.3053200599093529
616550.5	0.037689562890276536	0.200912281532641
621034.5	0.0635593220338983	0.29604891463619704
625518.5	0.017395182872435324	0.13189079904388828
630002.5	0.009812667261373774	0.09792676904882827
634486.5	0.021409455842997322	0.14631970421989418
638970.5	0.05307760927743087	0.23038578358360323
643454.5	0.056645851917930416	0.2380038905520883
647938.5	0.00936663693131133	0.09678138731859205
652422.5	0.006690454950936664	0.08179520127083656
656906.5	0.04705619982158787	0.21692441038663185
661390.5	0.02430865298840321	0.1559123246841096
665874.5	0.03858162355040143	0.19642205464356957
670358.5	0.04192685102586976	0.20476047232283323
674842.5	0.0	0.0
679326.5	0.024754683318465656	0.15733621108462495
683810.5	0.043264942016057094	0.20800226444934944
688294.5	0.06378233719892953	0.2525516525365248
692778.5	0.023639607493309546	0.1537517723257509
697262.5	0.10035682426404996	0.31679145232163375
701746.5	0.0	0.0
706230.5	0.03635147190008921	0.19066061968872652
710714.5	0.0	0.0
715198.5	0.0	0.0
719682.5	0.0	0.0
724166.5	0.03345227475468332	0.18289963027486775
728650.5	0.08407671721677074	0.28957503699687154
733134.5	0.05753791257805531	0.23987061632900206
737618.5	0.1311329170383586	0.40126917294073605
742102.5	0.0695807314897413	0.28334688883282266
746586.5	0.04950936663693131	0.2225070035682727
751070.5	0.039473684210526314	0.19867985355975656
755554.5	0.0463871543264942	0.21537677295032118
760038.5	0.08586083853702052	0.3375807300942317
764522.5	0.04928635147190009	0.2220052960447117
769006.5	0.057760927743086526	0.24033503228428127
773490.5	0.08028545941123996	0.28334688883282266
777974.5	0.05865298840321142	0.24218379054596412
782458.5	0.07024977698483496	0.2650467449051864
786942.5	0.015388046387154327	0.12404856463157615
791426.5	0.019402319357716323	0.139292208531979
795910.5	0.06132917038358608	0.2564945880212885
800394.5	0.00825156110615522	0.09083810382298399
804878.5	0.022524531668153436	0.1500817499503302
809362.5	0.06400535236396075	0.2590898775992568
813846.5	0.08385370205173952	0.28957503699687154
818330.5	0.05909901873327386	0.24401854245801957
822814.5	0.03233719892952721	0.17982546796693513
827298.5	0.007582515611061552	0.08707764128099446
831782.5	0.030999107939339875	0.2289291676094097
836266.5	0.01694915254237288	0.13018891098082386
840750.5	0.012934879571810883	0.11373161201623269
845234.5	0.027430865298840323	0.1656226593761866
849718.5	0.06378233719892953	0.2525516525365248
854202.5	0.028991971454058876	0.17027028940498948
858686.5	0.0	0.0
863170.5	0.08273862622658341	0.2876432273261156
867654.5	0.01583407671721677	0.12583352779453008
872138.5	0.17528991971454058	0.4317877695883728
876622.5	0.026761819803746655	0.16359040254167312
881106.5	0.0504014272970562	0.22450262202712956
885590.5	0.03568242640499554	0.18889792588854845
890074.5	0.09901873327386262	0.3533956598735819
894558.5	0.0	0.0
899042.5	0.0	0.0
903526.5	0.05976806422836753	0.27128399226696603
908010.5	0.04014272970561998	0.20035650652179973
912494.5	0.0967885816235504	0.31110863315496473
916978.5	0.015165031222123104	0.12314638127904166
921462.5	0.04950936663693131	0.2225070035682727
925946.5	0.036574487065120426	0.19240716565446017
930430.5	0.0	0.0
934914.5	0.05352363960749331	0.23135176594850818
939398.5	0.03791257805530776	0.1947115252246455
943882.5	0.04527207850133809	0.2127723631051225
948366.5	0.021409455842997322	0.14631970421989418
952850.5	0.037020517395182875	0.19924030559994013
957334.5	0.06400535236396075	0.2860883876819514
961818.5	0.00936663693131133	0.09678138731859205
966302.5	0.017172167707404103	0.13104261790503158
970786.5	0.04571810883140053	0.21381793383951808
975270.5	0.028991971454058876	0.17027028940498948
979754.5	0.04192685102586976	0.20476047232283323
984238.5	0.0847457627118644	0.31819629935650545
988722.5	0.08296164139161463	0.31749465285908735
993206.5	0.006690454950936664	0.08179520127083656
997690.5	0.014942016057091882	0.12223753947577594
1002174.5	0.0	0.0
1006658.5	0.07024977698483496	0.2650467449051864
1011142.5	0.054861730597680645	0.2342258111261025
1015626.5	0.027430865298840323	0.1656226593761866
1020110.5	0.007136485280999108	0.08447772061910233
1024594.5	0.054861730597680645	0.2342258111261025
1029078.5	0.08340767172167707	0.288803863758221
1033562.5	0.014272970561998216	0.11946953821789978
1038046.5	0.026761819803746655	0.16359040254167312
1042530.5	0.03568242640499554	0.31253902521713234
1047014.5	0.06690454950936664	0.25865913768774274
1051498.5	0.02297056199821588	0.1515604235881382
1055982.5	0.07939339875111508	0.2825587179351887
1060466.5	0.0896520963425513	0.2997917802535328
1064950.5	0.12176628010704728	0.3533956598735819
1069434.5	0.0	0.0
1073918.5	0.057091882247992866	0.23893907643579956
1078402.5	0.041703835860838534	0.20421517049631385
1082886.5	0.09299732381801963	0.3049546258347619
1087370.5	0.011819803746654773	0.10871892083098862
1091854.5	2.2301516503122213E-4	0.014933692277237473
1096338.5	0.0816235504014273	0.2856983556155466
1100822.5	0.01984834968777877	0.14088417117539773
1105306.5	0.027207850133809098	0.16494802252166924
1109790.5	0.08786797502230152	0.2964253279028321
1114274.5	0.06400535236396075	0.25299279113042084
1118758.5	0.04794826048171276	0.21897091241010244
1123242.5	0.04950936663693131	0.2225070035682727
1127726.5	0.10570918822479929	0.32512949454763296
1132210.5	0.1008028545941124	0.363965668749878
1136694.5	0.041703835860838534	0.20421517049631385
1141178.5	0.024754683318465656	0.19642205464356957
1145662.5	0.010704727921498661	0.10346365507509708
1150146.5	0.037689562890276536	0.22499876102344968
1154630.5	0.0	0.0
1159114.5	0.026761819803746655	0.16359040254167312
1163598.5	0.047725245316681535	0.21846108421565963
1168082.5	0.059322033898305086	0.24356115022372735
1172566.5	0.07314897413024085	0.3031208471762764
1177050.5	0.08206958073148975	0.32921933449476193
1181534.5	0.058429973238180194	0.2949167922688985
1186018.5	0.019402319357716323	0.139292208531979
1190502.5	0.05575379125780553	0.23612240736068554
1194986.5	0.034344335414808205	0.18532224749017104
1199470.5	0.07448706512042819	0.29187633176043387
1203954.5	0.03724353256021409	0.192985835128421
1208438.5	0.0	0.0
1212922.5	0.037689562890276536	0.19413799960408715
1217406.5	0.17662801070472792	0.44350803325028726
