# table produced by calculations.DamageProfiler
# using mapped file EASI241_rmdup.bam
# Sample ID: EASI241_rmdup.bam
pos	5pC>T
1	0.22824074074074074
2	0.13301521025946914
3	0.09179635979952519
4	0.07203815261044176
5	0.04939851548502688
6	0.04337218758471131
7	0.03361981799797775
8	0.028954423592493297
9	0.024721543058951374
10	0.026767676767676767
11	0.023064687168610817
12	0.018730489073881373
13	0.018892339544513456
14	0.024570673712021138
15	0.016867469879518072
