Node	EASI021.unmapped.rma6	EASI022.unmapped.rma6	EASI023A.unmapped.rma6	EASI023B.unmapped.rma6	EASI023C.unmapped.rma6	EASI031A.unmapped.rma6	EASI031B.unmapped.rma6	EASI031C.unmapped.rma6	EASI032.unmapped.rma6	EASI024.unmapped.rma6	EASI025.unmapped.rma6	EASI026A.unmapped.rma6	EASI026B.unmapped.rma6	EASI027.unmapped.rma6	EASI028A.unmapped.rma6	EASI028B.unmapped.rma6	EASI001.unmapped.rma6	EASI019A.unmapped.rma6	EASI019B.unmapped.rma6	EASI020A.unmapped.rma6	EASI020B.unmapped.rma6	EASI020C.unmapped.rma6	EASI020D.unmapped.rma6	EASI029.unmapped.rma6	EASI030.unmapped.rma6	EASI002.unmapped.rma6	EASI003A.unmapped.rma6	EASI003B.unmapped.rma6	EASI003C.unmapped.rma6	EASI004A.unmapped.rma6	EASI004B.unmapped.rma6	EASI005.unmapped.rma6	EASI006A.unmapped.rma6	EASI006B.unmapped.rma6	EASI007A.unmapped.rma6	EASI007B.unmapped.rma6	EASI008.unmapped.rma6	EASI009.unmapped.rma6	EASI010.unmapped.rma6	EASI011.unmapped.rma6	EASI012A.unmapped.rma6	EASI012B.unmapped.rma6	EASI013.unmapped.rma6	EASI014.unmapped.rma6	EASI015A.unmapped.rma6	EASI015B.unmapped.rma6	EASI015C.unmapped.rma6	EASI015D.unmapped.rma6	EASI016A.unmapped.rma6	EASI016B.unmapped.rma6	EASI017A.unmapped.rma6	EASI017B.unmapped.rma6	EASI018.unmapped.rma6	EASI040.unmapped.rma6	EASI041.unmapped.rma6	EASI042.unmapped.rma6	EASI033A.unmapped.rma6	EASI033B.unmapped.rma6	EASI034.unmapped.rma6	EASI043.unmapped.rma6	EASI044.unmapped.rma6	EASI045.unmapped.rma6	EASI035.unmapped.rma6	EASI037.unmapped.rma6	EASI038.unmapped.rma6	EASI039A.unmapped.rma6	EASI039B.unmapped.rma6	EASI039C.unmapped.rma6	EASI039D.unmapped.rma6
Bordetella_pertussis	2	5	2	4	3	3	0	5	3	4	1	9	5	2	0	0	2	1	4	4	6	1	0	1	4	3	7	2	3	1	4	3	3	2	4	5	7	4	3	9	7	6	7	4	6	2	2	5	4	10	6	6	4	7	3	5	3	1	1	2	4	5	1	6	1	4	3	2	4
Bordetella_pertussis_137	1	1	0	0	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	3	0	1	1	0	2	0	0	0	0	1	0	1	1	2	1	5	0	1	0	2	1	1	0	0	1	3	0	2	1	2	2	0	2	0	0	1	0	1	1	0	0	0	2	0	1
Bordetella_pertussis_18323	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	2	0	0	2	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	2	2	3	0	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	1
Bordetella_petrii	6	7	7	5	5	5	6	9	5	10	7	15	20	2	10	6	3	6	5	4	8	2	3	5	7	7	14	7	8	11	14	6	7	9	16	8	18	9	10	25	26	17	44	7	10	15	8	13	16	19	10	16	14	13	11	5	6	4	8	11	10	12	5	10	5	8	29	8	13
Bordetella_trematum	2	3	8	5	4	3	4	5	3	6	12	0	6	2	3	9	6	7	5	2	1	2	4	4	5	4	14	9	5	7	6	8	14	8	5	15	15	12	4	18	16	14	12	7	6	11	4	10	13	11	14	9	3	23	11	6	7	3	9	7	12	7	2	4	3	15	14	7	5
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Borreliella_burgdorferi_JD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
