Node	NumberOfAssignedReads
Leptospira_interrogans	48
Leptospira_interrogans_serovar_Hardjo-prajitno	1
Leptospira_interrogans_serovar_Manilae	5
Leptospira_kirschneri	0
Leptospira_kmetyi	4
Leptospira_licerasiae	0
Leptospira_noguchii	3
Leptospira_santarosai	4
Leptospira_santarosai_serovar_Shermani_str._LT_821	3
Leptospira_weilii	89
Leptospira_wolffii	0
Listeria_monocytogenes	4
Listeria_monocytogenes_HCC23	5
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	5
Mannheimia_haemolytica_D174	2
Mannheimia_haemolytica_M42548	1
Mannheimia_haemolytica_USDA-ARS-USMARC-183	1
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	4
Morbillivirus	0
Mycobacterium_avium	528
Mycobacterium_avium_subsp._avium	69
Mycobacterium_avium_subsp._hominissuis	252
Mycobacterium_avium_subsp._paratuberculosis	77
Mycobacterium_canettii	44
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	197
Mycobacterium_intracellulare	222
Mycobacterium_intracellulare_subsp._yongonense	133
Mycobacterium_kansasii	386
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	20
Mycobacterium_marseillense	169
Mycobacterium_sp._JS623	216
Mycobacterium_sp._YC-RL4	117
Mycobacterium_tuberculosis	171
Mycobacterium_tuberculosis_KZN_1435	107
Mycobacterium_tuberculosis_complex	201
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	111
Mycobacteroides_abscessus_subsp._abscessus	31
Mycobacteroides_abscessus_subsp._bolletii	10
Mycobacteroides_abscessus_subsp._bolletii_50594	5
Mycobacteroides_abscessus_subsp._massiliense	12
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	9
Mycoplasma_haemocanis	0
Mycoplasma_haemocanis_str._Illinois	1
Mycoplasma_haemofelis	0
Mycoplasma_haemofelis_str._Langford_1	2
Mycoplasma_mycoides	0
Mycoplasma_mycoides_subsp._capri_LC_str._95010	2
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_elongata_subsp._glycolytica	8
Neisseria_gonorrhoeae	7
Neisseria_gonorrhoeae_NG-k51.05	4
Neisseria_meningitidis	48
Neisseria_meningitidis_8013	4
Neisseria_meningitidis_M01-240355	4
Neisseria_meningitidis_M0579	18
Neisseria_meningitidis_MC58	2
Neisseria_meningitidis_NZ-05/33	5
Neisseria_mucosa	16
Neisseria_sicca	4
Neisseria_subflava	2
Neisseria_weaveri	8
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	2
Pasteurella_multocida	3
Pasteurella_multocida_subsp._multocida	14
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	20
Porphyromonas_gingivalis_A7A1-28	2
Porphyromonas_gingivalis_ATCC_33277	1
Porphyromonas_gingivalis_TDC60	2
Porphyromonas_gingivalis_W83	2
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_conorii	1
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	17
Salmonella_enterica_subsp._VII	2
Salmonella_enterica_subsp._arizonae	1
Salmonella_enterica_subsp._enterica	18
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	4
Salmonella_enterica_subsp._enterica_serovar_Newport_str._USDA-ARS-USMARC-1928	4
Salmonella_enterica_subsp._enterica_serovar_Reading	3
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._enterica_serovar_Weltevreden	1
Salmonella_enterica_subsp._houtenae_str._ATCC_BAA-1581	3
Salmonella_enterica_subsp._salamae	2
Salmonella_enterica_subsp._salamae_serovar_55:k:z39_str._1315K	5
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	1
Shigella_flexneri_3a	2
Shigella_sonnei	1
Shigella_sonnei_Ss046	1
Simian_virus_12	0
Staphylococcus_aureus	10
Staphylococcus_aureus_subsp._aureus_NCTC_8325	1
Staphylococcus_aureus_subsp._aureus_ST398	2
Staphylococcus_cohnii	7
Staphylococcus_epidermidis	16
Staphylococcus_epidermidis_PM221	3
Staphylococcus_equorum	8
Staphylococcus_hominis	2
Staphylococcus_hominis_subsp._hominis	4
Staphylococcus_nepalensis	4
Staphylococcus_saprophyticus	2
Staphylococcus_simulans	1
Staphylococcus_succinus	14
Streptococcus_agalactiae	0
Streptococcus_anginosus	7
Streptococcus_canis	2
Streptococcus_cristatus	0
Streptococcus_cristatus_AS_1.3089	1
Streptococcus_cristatus_ATCC_51100	2
Streptococcus_dysgalactiae	2
Streptococcus_equi	0
Streptococcus_gallolyticus	0
Streptococcus_gordonii	3
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	1
Streptococcus_lutetiensis	5
Streptococcus_milleri	0
Streptococcus_mitis	7
Streptococcus_mitis_B6	1
Streptococcus_mutans	0
Streptococcus_oralis	5
Streptococcus_oralis_subsp._oralis	2
Streptococcus_parauberis	0
Streptococcus_parauberis_NCFD_2020	1
Streptococcus_pneumoniae	1
Streptococcus_pyogenes	1
Streptococcus_salivarius	3
Streptococcus_sanguinis	6
