Node	NumberOfAssignedReads
Leptospira_borgpetersenii_serovar_Ceylonica	11
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	10
Leptospira_interrogans_serovar_Canicola	1
Leptospira_kirschneri	0
Leptospira_kmetyi	2
Leptospira_licerasiae	0
Leptospira_noguchii	0
Leptospira_santarosai	4
Leptospira_santarosai_serovar_Shermani_str._LT_821	1
Leptospira_weilii	32
Leptospira_wolffii	0
Listeria_monocytogenes	4
Listeria_monocytogenes_serotype_1/2a_str._08-7363	1
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	33
Mannheimia_haemolytica_D153	2
Mannheimia_haemolytica_USDA-ARS-USMARC-183	1
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	0
Morbillivirus	0
Mycobacterium_avium	231
Mycobacterium_avium_subsp._avium	56
Mycobacterium_avium_subsp._hominissuis	163
Mycobacterium_avium_subsp._paratuberculosis	35
Mycobacterium_canettii	28
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	98
Mycobacterium_intracellulare	124
Mycobacterium_intracellulare_subsp._yongonense	74
Mycobacterium_kansasii	170
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	3
Mycobacterium_marseillense	92
Mycobacterium_sp._JS623	138
Mycobacterium_sp._YC-RL4	113
Mycobacterium_tuberculosis	118
Mycobacterium_tuberculosis_KZN_1435	58
Mycobacterium_tuberculosis_complex	98
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	96
Mycobacteroides_abscessus_subsp._abscessus	30
Mycobacteroides_abscessus_subsp._bolletii	8
Mycobacteroides_abscessus_subsp._bolletii_50594	6
Mycobacteroides_abscessus_subsp._massiliense	21
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	22
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_haemofelis_str._Langford_1	4
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_elongata_subsp._glycolytica	16
Neisseria_gonorrhoeae	3
Neisseria_gonorrhoeae_NG-k51.05	5
Neisseria_meningitidis	4
Neisseria_meningitidis_H44/76	3
Neisseria_meningitidis_LNP21362	1
Neisseria_meningitidis_serogroup_B	2
Neisseria_mucosa	3
Neisseria_sicca	1
Neisseria_subflava	0
Neisseria_weaveri	1
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	0
Pasteurella_multocida	2
Pasteurella_multocida_subsp._multocida	8
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	8
Porphyromonas_gingivalis_A7A1-28	6
Porphyromonas_gingivalis_TDC60	1
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_akari_str._Hartford	1
Rickettsia_conorii	1
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	14
Salmonella_enterica_subsp._VII	2
Salmonella_enterica_subsp._enterica	21
Salmonella_enterica_subsp._enterica_serovar_Agona_str._460004_2-1	1
Salmonella_enterica_subsp._enterica_serovar_Napoli	1
Salmonella_enterica_subsp._enterica_serovar_Senftenberg	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	3
